date,symbol,action
2026-07-06,PCBL,snapshot_member
2026-07-06,PERSISTENT,snapshot_member
2026-07-06,PETRONET,snapshot_member
2026-07-06,PFIZER,snapshot_member
2026-07-06,PGEL,snapshot_member
2026-07-06,PHOENIXLTD,snapshot_member
2026-07-06,PIIND,snapshot_member
2026-07-06,PINELABS,snapshot_member
2026-07-06,PIRAMALFIN,snapshot_member
2026-07-06,PNBHOUSING,snapshot_member
2026-07-06,POLICYBZR,snapshot_member
2026-07-06,POLYCAB,snapshot_member
2026-07-06,POLYMED,snapshot_member
2026-07-06,POONAWALLA,snapshot_member
2026-07-06,POWERINDIA,snapshot_member
2026-07-06,PPLPHARMA,snapshot_member
2026-07-06,PREMIERENE,snapshot_member
2026-07-06,PRESTIGE,snapshot_member
2026-07-06,PTCIL,snapshot_member
2026-07-06,PVRINOX,snapshot_member
2026-07-06,PWL,snapshot_member
2026-07-06,RADICO,snapshot_member
2026-07-06,RAILTEL,snapshot_member
2026-07-06,RAINBOW,snapshot_member
2026-07-06,RAMCOCEM,snapshot_member
2026-07-06,RBLBANK,snapshot_member
2026-07-06,REDINGTON,snapshot_member
2026-07-06,RHIM,snapshot_member
2026-07-06,RITES,snapshot_member
2026-07-06,RKFORGE,snapshot_member
2026-07-06,RPOWER,snapshot_member
2026-07-06,RRKABEL,snapshot_member
2026-07-06,RVNL,snapshot_member
2026-07-06,SAGILITY,snapshot_member
2026-07-06,SAIL,snapshot_member
2026-07-06,SAILIFE,snapshot_member
2026-07-06,SAMMAANCAP,snapshot_member
2026-07-06,SAPPHIRE,snapshot_member
2026-07-06,SARDAEN,snapshot_member
2026-07-06,SAREGAMA,snapshot_member
2026-07-06,SBFC,snapshot_member
2026-07-06,SBICARD,snapshot_member
2026-07-06,SCHAEFFLER,snapshot_member
2026-07-06,SCHNEIDER,snapshot_member
2026-07-06,SCI,snapshot_member
2026-07-06,SHYAMMETL,snapshot_member
2026-07-06,SIGNATURE,snapshot_member
2026-07-06,SJVN,snapshot_member
2026-07-06,SOBHA,snapshot_member
2026-07-06,SONACOMS,snapshot_member
2026-07-06,SONATSOFTW,snapshot_member
2026-07-06,SPLPETRO,snapshot_member
2026-07-06,SRF,snapshot_member
2026-07-06,STARHEALTH,snapshot_member
2026-07-06,SUMICHEM,snapshot_member
2026-07-06,SUNDARMFIN,snapshot_member
2026-07-06,SUNTV,snapshot_member
2026-07-06,SUPREMEIND,snapshot_member
2026-07-06,SUZLON,snapshot_member
2026-07-06,SWANCORP,snapshot_member
2026-07-06,SWIGGY,snapshot_member
2026-07-06,SYNGENE,snapshot_member
2026-07-06,SYRMA,snapshot_member
2026-07-06,TARIL,snapshot_member
2026-07-06,TATACHEM,snapshot_member
2026-07-06,TATACOMM,snapshot_member
2026-07-06,TATAELXSI,snapshot_member
2026-07-06,TATAINVEST,snapshot_member
2026-07-06,TATATECH,snapshot_member
2026-07-06,TBOTEK,snapshot_member
2026-07-06,TECHNOE,snapshot_member
2026-07-06,TEGA,snapshot_member
2026-07-06,TEJASNET,snapshot_member
2026-07-06,TENNIND,snapshot_member
2026-07-06,THELEELA,snapshot_member
2026-07-06,THERMAX,snapshot_member
2026-07-06,TIINDIA,snapshot_member
2026-07-06,TIMKEN,snapshot_member
2026-07-06,TITAGARH,snapshot_member
2026-07-06,TORNTPOWER,snapshot_member
2026-07-06,TRAVELFOOD,snapshot_member
2026-07-06,TRIDENT,snapshot_member
2026-07-06,TRITURBINE,snapshot_member
2026-07-06,TTML,snapshot_member
2026-07-06,UBL,snapshot_member
2026-07-06,UCOBANK,snapshot_member
